time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:23:50.812,,,,,-0.00325000000000003,,,,,,,,,,,,,101,,,,
09:23:51.240,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:23:51.438,,,,,,,0,,,0,,,,,,0,,,,,,
09:23:51.745,,,,,,,,,,,,,,,,,,,,,0,
09:23:51.972,,,,,-0.00325000000000003,,,,,,,,,,,,,101,,,,
09:23:52.187,,,,101,,,,,,,,,,,,,,,,,,
09:23:52.731,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:23:52.988,,,,,,,0,,,0,,0,141.486648168355,0,142.9,0,,,,,,
09:23:53.235,,,,,,,,,,,,,,,,,26,,,,,
09:23:53.463,,,,,,,,0,369.950509822445,,,,,,,,,,,,0,
09:23:53.698,,,,,0,,,,,,,,,,,,,101,,,,
09:23:54.101,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:23:54.365,,38.2447501521921,,,,,0,,,0,,0,141.486648168355,0,142.9,0,,,,,,
09:23:54.648,,,0,,,,,0,369.950509822445,,,,,,,,,,,,0,
09:23:54.929,,,,,0,,,,,,,,,,,,,101,,,,
09:23:55.381,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:23:55.596,,38.2447501521921,,,,,0,,,0,,0,141.486648168355,0,142.9,0,,,,,,
09:23:55.831,,,0,,,,,0,369.950509822445,,,,,,,,,,,,0,
09:23:56.117,,,,,0,,,,,,,,,,,,,101,,,,
09:23:56.592,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:23:56.849,,38.2447501521921,,,,,0,,,0,,0,141.486648168355,0,142.9,0,,,,,,
09:23:57.060,,,0,,,,,0,369.950509822445,,,,,,,,,,,0,0,
09:23:57.338,,,,,0,,,,,,,,,,,,,101,,,,
09:23:57.854,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:23:58.084,,38.2447501521921,,,,,0,,,0,,0,141.486648168355,0,142.9,0,,,,,,
09:23:58.356,,,0,,,,,0,369.950509822445,,,,,,,,,,,0,0,
09:23:58.638,,,,,0,,,,,,,,,,,,,101,,,,
09:23:59.086,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
