time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
23:55:47.874,,,,,-0.02,,,,,,,,,,,,,98,,,,
23:55:48.254,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
23:55:48.489,,,,,,,0,,,0,,,,,,0,,,,,,
23:55:48.786,,,,,,,,,,,,,,,,,,,,0.000167027792592852,0,
23:55:48.990,,,,,-0.02,,,,,,,,,,,,,98,,,,
23:55:49.419,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
23:55:49.665,0,,,,,,0,,,0,,0,156.663093666746,0,158.23,0,,,,,,
23:55:49.957,,,,,,,,0,410.102383009139,,,,,,,,,,,0.00012526950072746,0,
23:55:50.175,,,,,-0.02,,,,,,,,,,,,,98,,,,
23:55:50.567,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
23:55:50.789,,38.2009713080002,,,,,0,,,0,,0,156.663093666746,0,158.23,0,,,,,,
23:55:51.002,,,0,,,,,0,410.102383009139,,,,,,,,,,,8.3506771677775E-05,0,
23:55:51.217,,,,,-0.02,,,,,,,,,,,,,98,,,,
23:55:51.665,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
23:55:51.919,,38.2014246956877,,,,,5.92038520569047,,,1438,,0.00185935371087198,156.664953020457,0.0018779472479807,158.23,17.0354150639405,,,,,,
23:55:52.153,,,0,,,,,0,410.102383009139,,,,,,,,,,,4.17531622830785E-05,0,
