time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
17:11:52.216,,,,,0.01,,,,,,,,,,,,,100,,,,
17:11:52.631,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:11:52.821,,,,,,,0,,,0,,,,,,0,,,,,,
17:11:53.065,,,,,,,,,,,,,,,,,,,,0.000131933738246209,0,
17:11:53.292,,,,,0.01,,,,,,,,,,,,,100,,,,
17:11:53.717,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:11:53.970,0,,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:11:54.232,,,,,,,,0,401.682357229111,,,,,,,,,,,9.89503338152725E-05,0,
17:11:54.462,,,,,0.01,,,,,,,,,,,,,100,,,,
17:11:54.865,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:11:55.094,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:11:55.381,,,0,,,,,0,401.682357229111,,,,,,,,,,,8.24581046722548E-05,0,
17:11:55.659,,,,,0.01,,,,,,,,,,,,,100,,,,
17:11:56.066,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:11:56.350,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:11:56.551,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:11:56.749,,,,,0.01,,,,,,,,,,,,,100,,,,
17:11:57.255,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:11:57.473,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:11:57.722,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:11:57.960,,,,,0.01,,,,,,,,,,,,,100,,,,
17:11:58.480,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:11:58.719,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:11:59.029,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:11:59.225,,,,,0.01,,,,,,,,,,,,,100,,,,
17:11:59.676,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:11:59.966,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:12:00.234,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:12:00.496,,,,,0.01,,,,,,,,,,,,,100,,,,
17:12:00.946,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:12:01.198,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:12:01.453,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:12:01.706,,,,,0.01,,,,,,,,,,,,,100,,,,
17:12:02.181,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:12:02.459,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:12:02.748,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:12:03.020,,,,,0.01,,,,,,,,,,,,,100,,,,
17:12:03.501,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:12:03.799,,38.0336183867346,,,,,0,,,0,,0,152.77433487536,0,154.3,0,,,,,,
17:12:04.076,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:12:04.362,,,,,0.01,,,,,,,,,,,,,100,,,,
17:12:04.826,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:12:05.016,,38.0338581716815,,,,,2.85017762870266,,,741,,0.000963173826896425,152.775298049187,0.000972805565165389,154.3,8.20114861178952,,,,,,
17:12:05.302,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:12:05.600,,,,,-0.44,,,,,,,,,,,,,55,,,,
17:12:06.161,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
17:12:06.471,,38.0342529273245,,,,,3.9235274890202,,,1731,,0.00254883759918027,152.776883712959,0.00257432597517208,154.3,11.2896233890315,,,,,,
17:12:06.731,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:12:06.948,,,,,-0.47,,,,,,,,,,,,,52,,,,
17:12:07.500,,,,,,,,,,,-1,,,,,,,,34.1176470588235,,,
17:12:07.790,,38.0352107863858,,,,,10.4963684401396,,,4898,,0.00639638845555837,152.780731263816,0.00646035234011395,154.3,30.2024254891316,,,,,,
17:12:08.170,,,0,,,,,0,401.682357229111,,,,,,,,,,,0,0,
17:12:08.448,,,,,-0.3,,,,,,,,,,,,,69,,,,
17:12:09.051,,,,,,,,,,,-1,,,,,,,,28.2352941176471,,,
17:12:09.299,,38.0366074536209,,,,,13.3875925829861,,,4708,,0.0120065543281171,152.786341429688,0.0121266198713982,154.3,38.5216820248272,,,,,,
17:12:09.585,,,1.01407860671245,,,121.705387118055,,0.00432474258333333,401.686681971695,,,,,,,,,,,0.0565545122950319,11,
17:12:09.775,,,,,-0.13,,,,,,,,,,,,,86,,,,
17:12:10.247,,,,,,,,,,,-1,,,,,,,,32.5490196078431,,,
17:12:10.539,447.227631412005,38.0380239566785,,,,,21.2473406597778,,,5995,,0.019341443820108,152.79367631918,0.0195348582583091,154.3,61.137452136789,,,,,,
17:12:10.817,,,2.49908189831012,,,101.177812665609,,0.011513308,401.693870537111,,,,,,,,,,,0.107853383373061,21,
17:12:11.038,,,,,-0.24,,,,,,,,,,,,,75,,,,
17:12:11.584,,,,,,,,,,,-1,,,,,,,,39.2156862745098,,,
17:12:11.868,228.432590947343,38.0390755823125,,,,,18.885105528528,,,6110,,0.0263001477681478,152.800635023128,0.0265631492458292,154.3,54.3403173995452,,,,,,
17:12:12.162,,,4.18707495841457,,,75.5404221141119,,0.0208543989722222,401.703211628083,,,,,,,,,,,0.130376284325208,25,
17:12:12.443,,,,,-0.61,,,,,,,,,,,,,38,,,,
17:12:12.909,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
17:12:13.226,135.960259345815,38.0387022426298,,,,,5.44665812781751,,,3478,,0.0283536949276443,152.802688570288,0.0286372318769208,154.3,15.6723048746176,,,,,,
17:12:13.430,,,5.1000029183347,,,30.2592118212084,,0.0271990319722222,401.709556261083,,,,,,,,,,,,18,
17:12:13.656,,,,,-0.6,,,,,,,,,,,,,39,,,,
17:12:14.163,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
17:12:14.415,107.17702356581,38.0382999624124,,,,,2.41407902160417,,,1502,,0.0291511129065408,152.803485988267,0.0294426240356063,154.3,6.94631121141421,,,,,,
17:12:14.685,,,5.58440147425749,,,18.5698386277244,,0.0317278419722222,401.714085071083,,,,,,,,,,,,13,
17:12:14.912,,,,,-0.46,,,,,,,,,,,,,53,,,,
17:12:15.336,,,,,,,,,,,-1,,,,,,,,23.921568627451,,,
17:12:15.579,100.279443143198,38.0385346337986,,,,,8.24317856634419,,,3774,,0.0318165032510982,152.806151378611,0.0321346682836092,154.3,23.7190593931082,,,,,,
17:12:15.863,,,5.9337621705015,,,68.6931547195349,,0.0356542966388889,401.71801152575,,,,,,,,,,,-0.0505211514522219,12,
17:12:16.071,,,,,-0.05,,,,,,,,,,,,,94,,,,
17:12:16.538,,,,,,,,,,,-1,,,,,,,,34.9019607843137,,,
17:12:16.780,110.387245498444,38.0400400995031,,,,,22.6040186172227,,,5835,,0.0393577959615136,152.813692671322,0.0397513739211288,154.3,65.0411799028403,,,,,,
17:12:17.207,,,6.69791415057439,,,118.968519038014,,0.0427457690277778,401.725102998139,,,,,,,,,,,,19,
17:12:17.413,,,,,-0.78,,,,,,,,,,,,,21,,,,
17:12:18.437,,,,,,,,,,,-1,,,,,,,,26.2745098039216,,,
17:12:18.745,97.0447689438596,38.0398974989756,,,,,3.8918771648611,,,4497,,0.0414825327862828,152.815817408146,0.0418973581141457,154.3,11.1985522187907,,,,,,
17:12:19.055,,,7.53871334221145,,,21.6215398047839,,0.0519902750277778,401.734347504139,,,,,,,,,,,,18,
17:12:19.330,,,,,-0.32,,,,,,,,,,,,,67,,,,
17:12:19.839,,,,,,,,,,,-1,,,,,,,,26.2745098039216,,,
17:12:20.151,91.0214956421674,38.0404757897143,,,,,14.9544484743001,,,5416,,0.0473223259187596,152.821657201279,0.0477955491779472,154.3,43.0301792807589,,,,,,
17:12:20.434,,,8.35256597503122,,,65.019341192609,,0.0607917125,401.743148941611,,,,,,,,,,,,23,
17:12:20.637,,,,,-0.33,,,,,,,,,,,,,66,,,,
17:12:21.142,,,,,,,,,,,-1,,,,,,,,26.2745098039216,,,
17:12:21.445,86.6101268468395,38.0409689766434,,,,,14.8318858909027,,,5453,,0.052651779308616,152.826986654669,0.0531782971017021,154.3,42.6775156605816,,,,,,
17:12:21.759,,,9.10624043981358,,,61.7995245454279,,0.0696309798333333,401.751988208945,,,,,,,,,,,,24,
17:12:22.036,,,,,-0.38,,,,,,,,,,,,,61,,,,
17:12:22.502,,,,,,,,,,,-1,,,,,,,,24.7058823529412,,,
17:12:22.723,81.6980834861052,38.0411862384889,,,,,11.9309358671948,,,4746,,0.0568871760364297,152.831222051397,0.057456047796794,154.3,34.3302737131975,,,,,,
17:12:22.975,,,9.56718628135697,,,59.6546793359741,,0.0763878081666667,401.758745037278,,,,,,,,,,,,20,
17:12:23.184,,,,,-0.37,,,,,,,,,,,,,62,,,,
17:12:23.636,,,,,,,,,,,-1,,,,,,,,27.4509803921569,,,
17:12:23.891,79.673445511381,38.04153551403,,,,,12.241504673006,,,4791,,0.0608607987170074,152.835195674077,0.0614694067041775,154.3,35.2239095711854,,,,,,
17:12:24.254,,,9.88363527788163,,,72.0088510176825,,0.08242361,401.764780839111,,,,,,,,,,,,17,
17:12:24.448,,,,,-0.25,,,,,,,,,,,,,74,,,,
17:12:24.841,,,,,,,,,,,-1,,,,,,,,30.1960784313725,,,
17:12:25.053,80.7784235826399,38.0423876500474,,,,,17.7275608605841,,,5813,,0.0665804928179032,152.840915368178,0.0672462977460822,154.3,51.0095790795923,,,,,,
17:12:25.301,,,10.2583970686228,,,84.4169564789718,,0.08853359675,401.770890825861,,,,,,,,,,,,21,
17:12:25.514,,,,,-0.4,,,,,,,,,,,,,59,,,,
17:12:25.921,,,,,,,,,,,-1,,,,,,,,22.3529411764706,,,
17:12:26.176,79.4758755390582,38.0427505368403,,,,,12.120879023509,,,4985,,0.0703628511632816,152.844697726523,0.0710664796749144,154.3,34.8768193168952,,,,,,
17:12:26.479,,,10.7238214319944,,,52.6994740152566,,0.0960592497777778,401.778416478889,,,,,,,,,,,,23,
17:12:26.668,,,,,-0.72,,,,,,,,,,,,,27,,,,
17:12:27.130,,,,,,,,,,,-1,,,,,,,,20,,,
17:12:27.382,74.793611566898,38.0424071549259,,,,,4.42857270069966,,,3980,,0.0718461821528675,152.846181057513,0.0725646439743961,154.3,12.7428488985382,,,,,,
17:12:27.684,,,11.0219847646098,,,23.3082773721035,,0.102419923055556,401.784777152167,,,,,,,,,,,,19,
17:12:27.883,,,,,-0.35,,,,,,,,,,,,,64,,,,
17:12:28.277,,,,,,,,,,,-1,,,,,,,,27.843137254902,,,
17:12:28.480,73.8060207811147,38.0427372157921,,,,,12.2856008277589,,,4658,,0.075592069694385,152.849926945055,0.0763479903913289,154.3,35.3507925818074,,,,,,
17:12:28.728,,,11.2332611614327,,,68.2533379319941,,0.107642405555556,401.789999634667,,,,,,,,,,,,18,
17:12:28.934,,,,,-0.23,,,,,,,,,,,,,76,,,,
17:12:29.310,,,,,,,,,,,-1,,,,,,,,31.7647058823529,,,
17:12:29.515,74.9402130502307,38.0435059265789,,,,,17.6429127280023,,,5633,,0.0806674480557267,152.855002323416,0.081474122536284,154.3,50.7660111320993,,,,,,
17:12:29.742,,,11.5405515170793,,,80.195057854556,,0.1138359415,401.796193170611,,,,,,,,,,,,22,
17:12:29.946,,,,,-0.33,,,,,,,,,,,,,66,,,,
17:12:30.385,,,,,,,,,,,-1,,,,,,,,17.6470588235294,,,
17:12:30.650,74.7551579606099,38.0440222459592,,,,,14.0567002171621,,,5168,,0.0850982378842725,152.859433113244,0.0859492202631152,154.3,40.4469834831993,,,,,,
17:12:30.912,,,11.9698887738336,,,56.2268008686486,,0.121961338027778,401.804318567139,,,,,,,,,,,,25,
