time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
12:21:24.511,,,,,0,,,,,,,,,,,,,100,,,,
12:21:24.921,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:25.164,,,,,,,0,,,0,,,,,,0,,,,,,
12:21:25.468,,,,,,,,,,,,,,,,,,,,,0,
12:21:25.670,,,,,0,,,,,,,,,,,,,100,,,,
12:21:26.230,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:26.508,0,,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:26.789,,,,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:26.992,,,,,0,,,,,,,,,,,,,100,,,,
12:21:27.425,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:27.675,,38.1579495156719,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:27.954,,,0,,,,,0,436.301986560945,,,,,,,,,,,0.000803477553289568,0,
12:21:28.250,,,,,0,,,,,,,,,,,,,100,,,,
12:21:28.648,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:28.905,,38.1579495156719,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:29.156,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:29.427,,,,,0,,,,,,,,,,,,,100,,,,
12:21:29.933,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:30.183,,38.1579495156719,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:30.466,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:30.734,,,,,0,,,,,,,,,,,,,100,,,,
12:21:31.241,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:31.473,,38.1579495156719,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:31.749,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:32.018,,,,,0,,,,,,,,,,,,,100,,,,
12:21:32.534,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:32.810,,38.1579495156719,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:33.065,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:33.294,,,,,0,,,,,,,,,,,,,100,,,,
12:21:33.709,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:33.896,,38.1579495156719,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:34.080,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:34.277,,,,,0,,,,,,,,,,,,,100,,,,
12:21:34.666,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
12:21:34.865,,38.1579495156719,,,,,0,,,0,,0,166.483891767799,0,168.15,0,,,,,,
12:21:35.083,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:35.304,,,,,0,,,,,,,,,,,,,100,,,,
12:21:35.712,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
12:21:35.906,,38.1585002333371,,,,,8.3053935574287,,,1913,,0.00240279211383729,166.486294559913,0.00242682003497566,168.15,23.8980778453713,,,,,,
12:21:36.233,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:36.422,,,,,-0.49,,,,,,,,,,,,,51,,,,
12:21:36.883,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
12:21:37.138,,38.1587839993614,,,,,3.61799093943943,,,1634,,0.00364086891481271,166.487532636714,0.00367727760396083,168.15,10.410467428992,,,,,,
12:21:37.397,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:37.585,,,,,-0.48,,,,,,,,,,,,,52,,,,
12:21:38.021,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
12:21:38.246,,38.1590303802197,,,,,3.49252001742705,,,1547,,0.00471583349425103,166.488607601293,0.00476299182919354,168.15,10.0494353068115,,,,,,
12:21:38.492,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:38.693,,,,,-0.19,,,,,,,,,,,,,81,,,,
12:21:39.181,,,,,,,,,,,-1,,,,,,,,31.7647058823529,,,
12:21:39.405,,38.1601943002497,,,,,15.7686992244241,,,4484,,0.00979403970689302,166.493685807506,0.00989198010396195,168.15,45.3731179600117,,,,,,
12:21:39.700,,,0,,,,,0,436.301986560945,,,,,,,,,,,0,0,
12:21:39.899,,,,,-0.08,,,,,,,,,,,,,92,,,,
12:21:40.353,,,,,,,,,,,-1,,,,,,,,37.6470588235294,,,
12:21:40.608,,38.1617791539682,,,,,20.6981000843847,,,5182,,0.0167087879647867,166.500600555764,0.0168758758444346,168.15,59.5570581511432,,,,,,
12:21:40.889,,,1.18385948931842,,,147.843572031319,,0.00463783755555556,436.3066243985,,,,,,,,,,,0.085182012097731,14,
12:21:41.147,,,,,-0.08,,,,,,,,,,,,,92,,,,
12:21:41.641,,,,,,,,,,,-1,,,,,,,,38.4313725490196,,,
12:21:41.922,561.519771227132,38.1635127296506,,,,,25.5790491972983,,,6404,,0.0260423748318416,166.509934142631,0.02630279858016,168.15,73.6015824777926,,,,,,
12:21:42.198,,,3.28550504512548,,,98.3809584511471,,0.0140620532222222,436.316048614167,,,,,,,,,,,0.153395766130247,26,
