time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
18:46:39.063,,,,,0,,,,,,,,,,,,,100,,,,
18:46:40.019,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
18:46:40.246,,,,,,,0,,,0,,,,,,0,,,,,,
18:46:40.502,,,,,,,,,,,,,,,,,,,,0,0,
18:46:40.727,,,,,0,,,,,,,,,,,,,100,,,,
18:46:41.169,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
18:46:41.438,0,,,,,,0,,,0,,0,207.015749106583,0,209.09,0,,,,,,
18:46:41.703,,,,,,,,0,545.964442605917,,,,,,,,,,,0,0,
18:46:41.948,,,,,0,,,,,,,,,,,,,100,,,,
18:46:42.503,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:42.812,,37.9179994160691,,,,,7.97734713103552,,,1948,,0.00304505267356945,207.018794159256,0.00307550320030514,209.09,22.9541515906271,,,,,,
18:46:43.097,,,0,,,,,0,545.964442605917,,,,,,,,,,,0,0,
18:46:43.298,,,,,-0.48,,,,,,,,,,,,,52,,,,
18:46:43.802,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:44.253,,37.9182510281924,,,,,3.43271635478399,,,1612,,0.00441876540015809,207.020167871983,0.00446295305415968,209.09,9.87735525119471,,,,,,
18:46:45.081,,,0,,,,,0,545.964442605917,,,,,,,,,,,0,0,
18:46:45.982,,,,,-0.14,,,,,,,,,,,,,86,,,,
18:46:47.477,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:47.698,,37.9193035362499,,,,,6.00471462948531,,,1705,,0.0101650851497074,207.025914191733,0.0102667360012045,209.09,17.2780659534582,,,,,,
18:46:47.902,,,2.2748393417225,,,120.094292589706,,0.00391716402777778,545.968359769945,,,,,,,,,,,0.0191402380685424,5,
18:46:48.115,,,,,-0.49,,,,,,,,,,,,,51,,,,
18:46:48.505,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:48.738,284.757466761065,37.9192126831072,,,,,3.42309275839902,,,1639,,0.0111544170543757,207.026903523637,0.0112659612249195,209.09,9.8496641545633,,,,,,
18:46:48.977,,,2.82518922311407,,,57.0515459733169,,0.00570815552777778,545.970150761445,,,,,,,,,,,0.0233658099173793,6,
18:46:49.192,,,,,-0.48,,,,,,,,,,,,,52,,,,
18:46:49.605,,,,,,,,,,,-1,,,,,,,,29.0196078431373,,,
18:46:49.852,241.963159829102,37.9195749898285,,,,,8.58604984025376,,,4032,,0.0138116334829707,207.029560740066,0.0139497498178004,209.09,24.7056429111768,,,,,,
18:46:50.115,,,2.98421859074078,,,214.651246006344,,0.00697344375,545.971416049667,,,,,,,,,,,,4,
18:46:50.316,,,,,-0.2,,,,,,,,,,,,,80,,,,
18:46:50.769,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:51.040,231.377647284285,37.9199126567155,,,,,7.01416846305834,,,2141,,0.016134990083443,207.031884096666,0.0162963399842774,209.09,20.1826852384118,,,,,,
18:46:51.302,,,3.10982524648325,,,175.354211576458,,0.00829234452777778,545.972734950445,,,,,,,,,,,,4,
18:46:51.499,,,,,-0.49,,,,,,,,,,,,,51,,,,
18:46:51.926,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:52.150,207.20224496872,37.9200128096866,,,,,3.41056160736156,,,1633,,0.0171819240220963,207.032931030605,0.0173537432623173,209.09,9.8136068117156,,,,,,
18:46:52.399,,,3.40605586230815,,,56.842693456026,,0.0101194511944444,545.974562057111,,,,,,,,,,,,6,
18:46:52.601,,,,,-0.48,,,,,,,,,,,,,52,,,,
18:46:53.077,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:53.319,180.914706242654,37.9200920830315,,,,,3.46465850448732,,,1627,,0.0183075754017979,207.034056681985,0.0184906511558159,209.09,9.96926612512021,,,,,,
18:46:53.580,,,3.56462868511361,,,69.2931700897463,,0.0117605777222222,545.976203183639,,,,,,,,,,,,5,
18:46:53.783,,,,,-0.48,,,,,,,,,,,,,52,,,,
18:46:54.228,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:54.480,165.368614811846,37.9201870344924,,,,,3.53919018712841,,,1662,,0.0194483044731094,207.035197411056,0.0196427875178405,209.09,10.1837248309464,,,,,,
18:46:54.724,,,3.51503120622416,,,117.973006237614,,0.0127136962222222,545.977156302139,,,,,,,,,,,,3,
18:46:54.957,,,,,-0.48,,,,,,,,,,,,,52,,,,
18:46:55.407,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:55.664,162.142879055391,37.9203344077458,,,,,3.54344914042219,,,1664,,0.0206143530890676,207.036363459672,0.0208204966199583,209.09,10.1959796141365,,,,,,
18:46:55.899,,,3.22403428953661,,,,,0.0127136962222222,545.977156302139,,,,,,,,,,,-0.024648768560574,0,
18:46:56.093,,,,,-0.47,,,,,,,,,,,,,53,,,,
18:46:56.495,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:56.736,170.588876996618,37.9205310823701,,,,,3.60725153688088,,,1662,,0.0216881516102503,207.037437258193,0.0219050331263528,209.09,10.37956569308,,,,,,
18:46:57.044,,,2.98350366038163,,,,,0.0127136962222222,545.977156302139,,,,,,,,,,,-0.0365870738412045,0,
18:46:57.228,,,,,-0.48,,,,,,,,,,,,,52,,,,
18:46:57.773,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:57.979,181.758295384302,37.9207911749229,,,,,4.11201940514137,,,1931,,0.0231081975338495,207.038857304117,0.0233392795091879,209.09,11.8319931700105,,,,,,
18:46:58.265,,,2.76351705157522,,,,,0.0127136962222222,545.977156302139,,,,,,,,,,,-0.0302309132898105,0,
18:46:58.471,,,,,-0.07,,,,,,,,,,,,,93,,,,
18:46:58.938,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:46:59.213,211.953217897159,37.9214942978794,,,,,11.1360162219546,,,2924,,0.0269470882566695,207.04269619484,0.0272165591392362,209.09,32.0429586773225,,,,,,
18:46:59.460,,,2.57745142955129,,,,,0.0127136962222222,545.977156302139,,,,,,,,,,,-0.0179398457941962,0,
18:46:59.652,,,,,-0.5,,,,,,,,,,,,,50,,,,
18:47:00.114,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:47:00.381,220.479431641522,37.9216928404195,,,,,3.36211601364485,,,1642,,0.0280310851713852,207.043780191754,0.028311396023099,209.09,9.67420865292858,,,,,,
18:47:00.668,,,2.41336762915866,,,,,0.0127136962222222,545.977156302139,,,,,,,,,,,0,0,
18:47:00.859,,,,,-0.47,,,,,,,,,,,,,53,,,,
18:47:01.319,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
18:47:01.574,229.663938428221,37.9219067120584,,,,,3.52477526828794,,,1624,,0.0291987754637555,207.044947882047,0.029490763218393,209.09,10.1422471032262,,,,,,
18:47:01.828,,,2.27424495525744,,,,,0.0127136962222222,545.977156302139,,,,,,,,,,,0,0,
18:47:02.019,,,,,-0.47,,,,,,,,,,,,,53,,,,
18:47:02.474,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
