time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
19:08:19.383,,,,,-0.02,,,,,,,,,,,,,98,,,,
19:08:19.812,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
19:08:20.046,,,,,,,0,,,0,,,,,,0,,,,,,
19:08:20.291,,,,,,,,,,,,,,,,,,,,0,0,
19:08:20.483,,,,,-0.02,,,,,,,,,,,,,98,,,,
19:08:20.889,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
19:08:21.109,0,,,,,,0,,,0,,0,172.325443823012,0,174.05,0,,,,,,
19:08:21.409,,,,,,,,0,451.873801756945,,,,,,,,,,,0,0,
19:08:21.614,,,,,-0.02,,,,,,,,,,,,,98,,,,
19:08:22.041,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
19:08:22.251,,38.1357456778836,,,,,0,,,0,,0,172.325443823012,0,174.05,0,,,,,,
19:08:22.517,,,0,,,,,0,451.873801756945,,,,,,,,,,,0,0,
19:08:22.808,,,,,-0.02,,,,,,,,,,,,,98,,,,
19:08:23.212,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
19:08:23.468,,38.1357456778836,,,,,0,,,0,,0,172.325443823012,0,174.05,0,,,,,,
19:08:23.736,,,0,,,,,0,451.873801756945,,,,,,,,,,,0,0,
19:08:24.032,,,,,-0.02,,,,,,,,,,,,,98,,,,
19:08:24.554,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
19:08:24.787,,38.1357456778836,,,,,0,,,0,,0,172.325443823012,0,174.05,0,,,,,,
19:08:25.077,,,0,,,,,0,451.873801756945,,,,,,,,,,,0,0,
19:08:25.299,,,,,-0.02,,,,,,,,,,,,,98,,,,
19:08:25.779,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
