time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
13:35:20.089,,,,,-0.02325,,,,,,,,,,,,,99,,,,
13:35:20.568,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:20.779,,,,,,,0,,,0,,,,,,0,,,,,,
13:35:21.043,,,,,,,,,,,,,,,,,,,,,0,
13:35:21.323,,,,,-0.02325,,,,,,,,,,,,,99,,,,
13:35:21.521,,,,99,,,,,,,,,,,,,,,,,,
13:35:22.052,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:22.294,,,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:22.596,,,,,,,,,,,,,,,,,44,,,,,
13:35:22.793,,,,,,,,0,385.789681060083,,,,,,,,,,,,0,
13:35:23.000,,,,,0,,,,,,,,,,,,,99,,,,
13:35:23.440,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:23.639,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:23.923,,,0,,,,,0,385.789681060083,,,,,,,,,,,,0,
13:35:24.214,,,,,0,,,,,,,,,,,,,99,,,,
13:35:24.615,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:24.809,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:25.073,,,0,,,,,0,385.789681060083,,,,,,,,,,,,0,
13:35:25.346,,,,,0,,,,,,,,,,,,,99,,,,
13:35:25.854,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:26.098,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:26.306,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:26.504,,,,,0,,,,,,,,,,,,,99,,,,
13:35:26.983,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:27.257,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:27.529,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:27.818,,,,,0,,,,,,,,,,,,,99,,,,
13:35:28.336,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:28.612,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:28.872,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:29.144,,,,,0,,,,,,,,,,,,,99,,,,
13:35:29.692,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:29.902,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:30.108,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:30.356,,,,,0,,,,,,,,,,,,,99,,,,
13:35:30.858,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:31.101,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:31.396,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:31.657,,,,,0,,,,,,,,,,,,,99,,,,
13:35:32.136,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:32.378,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:32.639,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:32.945,,,,,0,,,,,,,,,,,,,99,,,,
13:35:33.493,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:33.736,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:34.001,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:34.259,,,,,0,,,,,,,,,,,,,99,,,,
13:35:34.767,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:34.976,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:35.302,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:35.593,,,,,0,,,,,,,,,,,,,99,,,,
13:35:36.056,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:36.392,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:36.636,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:36.935,,,,,0,,,,,,,,,,,,,99,,,,
13:35:37.348,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:37.594,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:37.842,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:38.054,,,,,0,,,,,,,,,,,,,99,,,,
13:35:38.528,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:38.714,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:38.938,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:39.218,,,,,0,,,,,,,,,,,,,99,,,,
13:35:39.638,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:39.875,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:40.073,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:40.275,,,,,0,,,,,,,,,,,,,99,,,,
13:35:40.761,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:40.999,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:41.272,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:41.543,,,,,0,,,,,,,,,,,,,99,,,,
13:35:42.077,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:42.319,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:42.593,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:42.891,,,,,0,,,,,,,,,,,,,99,,,,
13:35:43.329,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:43.578,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:43.774,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:44.016,,,,,0,,,,,,,,,,,,,99,,,,
13:35:44.538,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:35:44.783,,38.2391629423979,,,,,0,,,0,,0,147.522744755523,0,149,0,,,,,,
13:35:45.043,,,0,,,,,0,385.789681060083,,,,,,,,,,,0,0,
13:35:45.317,,,,,0,,,,,,,,,,,,,99,,,,
13:35:45.788,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
