time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
13:00:38.879,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:39.278,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:39.509,,,,,,,0,,,0,,,,,,0,,,,,,
13:00:39.762,,,,,,,,,,,,,,,,,,,,0.000146296912706191,0,
13:00:39.960,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:40.440,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:40.723,0,,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:41.002,,,,,,,,0,594.319298715667,,,,,,,,,,,0.00012800863258718,0,
13:00:41.204,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:41.642,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:41.833,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:42.112,,,0,,,,,0,594.319298715667,,,,,,,,,,,0.000109714662818564,0,
13:00:42.402,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:42.786,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:43.043,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:43.536,,,0,,,,,0,594.319298715667,,,,,,,,,,,7.31597134438166E-05,0,
13:00:43.752,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:44.240,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:44.448,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:44.639,,,0,,,,,0,594.319298715667,,,,,,,,,,,0,0,
13:00:44.902,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:45.345,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:45.544,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:45.749,,,0,,,,,0,594.319298715667,,,,,,,,,,,0,0,
13:00:46.019,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:46.539,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:46.792,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:47.074,,,0,,,,,0,594.319298715667,,,,,,,,,,,0,0,
13:00:47.321,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:47.770,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:48.060,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:48.310,,,0,,,,,0,594.319298715667,,,,,,,,,,,0,0,
13:00:48.514,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:49.022,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:49.279,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:49.513,,,0,,,,,0,594.319298715667,,,,,,,,,,,0,0,
13:00:49.798,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:50.389,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
13:00:50.646,,37.8017447814579,,,,,0,,,0,,0,224.663064487446,0,226.91,0,,,,,,
13:00:50.951,,,0,,,,,0,594.319298715667,,,,,,,,,,,0,0,
13:00:51.194,,,,,-0.02,,,,,,,,,,,,,98,,,,
13:00:51.684,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
