time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
17:48:38.560,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:44.887,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:45.354,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:48:45.557,,,,,,,0,,,0,,,,,,0,,,,,,
17:48:45.759,,,,,,,,,,,,,,,,,,,,0,0,
17:48:45.977,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:46.377,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:48:46.605,0,,,,,,0,,,0,,0,195.520464508854,0,197.48,0,,,,,,
17:48:46.862,,,,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:47.066,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:47.485,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:48:47.732,,38.0095379628945,,,,,0,,,0,,0,195.520464508854,0,197.48,0,,,,,,
17:48:47.934,,,0,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:48.127,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:48.540,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:48:48.787,,38.0095379628945,,,,,0,,,0,,0,195.520464508854,0,197.48,0,,,,,,
17:48:49.057,,,0,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:49.333,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:49.731,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:48:49.987,,38.0095379628945,,,,,0,,,0,,0,195.520464508854,0,197.48,0,,,,,,
17:48:50.264,,,0,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:50.513,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:50.985,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:48:51.256,,38.0095379628945,,,,,0,,,0,,0,195.520464508854,0,197.48,0,,,,,,
17:48:51.529,,,0,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:51.851,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:52.421,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
17:48:52.636,,38.0095379628945,,,,,0,,,0,,0,195.520464508854,0,197.48,0,,,,,,
17:48:52.871,,,0,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:53.147,,,,,-0.02,,,,,,,,,,,,,98,,,,
17:48:53.619,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
17:48:53.909,,38.0100483009287,,,,,7.42318322889369,,,1873,,0.00262517080818397,195.523089679662,0.00265142251626581,197.48,21.3595911425392,,,,,,
17:48:54.216,,,0,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:54.418,,,,,-0.11,,,,,,,,,,,,,89,,,,
17:48:54.840,,,,,,,,,,,-1,,,,,,,,26.6666666666667,,,
17:48:55.079,,38.0109344987472,,,,,14.0300160831922,,,3898,,0.00718375842610517,195.52764826728,0.00725559601036622,197.48,40.3702021113785,,,,,,
17:48:55.355,,,0,,,,,0,514.398424678889,,,,,,,,,,,0,0,
17:48:55.579,,,,,-0.23,,,,,,,,,,,,,77,,,,
17:48:56.006,,,,,,,,,,,-1,,,,,,,,25.0980392156863,,,
17:48:56.207,,38.0117464638592,,,,,13.3309862494025,,,4281,,0.0113604941715676,195.531825003025,0.0114740991132832,197.48,38.3588020171349,,,,,,
17:48:56.409,,,0.331040648692996,,,444.366208313417,,0.000877840166666667,514.399302519056,,,,,,,,,,,0.017414155537853,3,
17:48:56.616,,,,,-0.68,,,,,,,,,,,,,32,,,,
17:48:57.034,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
17:48:57.292,1375.60370904162,38.0118206135208,,,,,2.37213155514992,,,1833,,0.0120756018921238,195.532540110746,0.012196357911045,197.48,6.82561087231429,,,,,,
17:48:57.576,,,1.16658562324254,,,29.651644439374,,0.00347175816666667,514.401896437056,,,,,,,,,,,0.0481647549539052,8,
17:48:57.759,,,,,-0.31,,,,,,,,,,,,,69,,,,
17:48:58.190,,,,,,,,,,,-1,,,,,,,,24.3137254901961,,,
17:48:58.417,454.462281984762,38.0123486508509,,,,,11.8510731607303,,,4247,,0.0157778313892257,195.536242340243,0.0159356097031179,197.48,34.1004754305714,,,,,,
17:48:58.636,,,1.96268072879938,,,118.510731607303,,0.00641948733333333,514.404844166222,,,,,,,,,,,0.0640793420184358,10,
17:48:58.843,,,,,-0.38,,,,,,,,,,,,,62,,,,
17:48:59.248,,,,,,,,,,,-1,,,,,,,,23.1372549019608,,,
17:48:59.511,300.284001204328,38.0128110028235,,,,,11.5138322128581,,,4592,,0.0192766934213384,195.539741202275,0.0194694603555517,197.48,33.1300927064813,,,,,,
17:48:59.712,,,2.96970263091916,,,82.2416586632718,,0.0106000063333333,514.409024685222,,,,,,,,,,,0.0910254938366063,14,
17:48:59.925,,,,,-0.35,,,,,,,,,,,,,65,,,,
17:49:00.289,,,,,,,,,,,-1,,,,,,,,26.2745098039216,,,
17:49:00.536,219.860985971586,38.0132852270522,,,,,14.1476197138928,,,5382,,0.0233052784375172,195.543769787291,0.0235383312218924,197.48,40.708596758417,,,,,,
17:49:00.810,,,4.15283008135098,,,78.5978872994044,,0.0160895488333333,514.414514227722,,,,,,,,,,,0.0965341887038994,18,
17:49:01.045,,,,,-0.38,,,,,,,,,,,,,62,,,,
17:49:01.458,,,,,,,,,,,-1,,,,,,,,26.6666666666667,,,
17:49:01.710,173.41419339498,38.0137730685449,,,,,14.0888987813696,,,5619,,0.0279015613302164,195.548366070184,0.0281805769435186,197.48,40.5396321684927,,,,,,
17:49:02.019,,,5.57706780563688,,,64.0404490062257,,0.0234814241666667,514.421906103056,,,,,,,,,,,0.0892451512942821,22,
17:49:02.248,,,,,-0.75,,,,,,,,,,,,,25,,,,
17:49:02.666,,,,,,,,,,,-1,,,,,,,,23.921568627451,,,
17:49:02.920,125.830758430231,38.0135466711244,,,,,4.89543311427471,,,4842,,0.0295468541191362,195.550011362973,0.0298423226603276,197.48,14.086200833566,,,,,,
17:49:03.212,,,6.70198044863009,,,23.311586258451,,0.030437771,514.428862449889,,,,,,,,,,,,21,
17:49:03.439,,,,,-0.75,,,,,,,,,,,,,25,,,,
17:49:03.831,,,,,,,,,,,-1,,,,,,,,21.5686274509804,,,
17:49:04.057,101.729264183778,38.0133081371138,,,,,4.4889969077612,,,4440,,0.0309641204722433,195.551428629326,0.0312737616769657,197.48,12.9167145190072,,,,,,
17:49:04.356,,,7.57208408690691,,,22.444984538806,,0.0367971237777778,514.435221802667,,,,,,,,,,,,20,
17:49:04.554,,,,,-0.52,,,,,,,,,,,,,48,,,,
17:49:04.965,,,,,,,,,,,-1,,,,,,,,35.2941176470588,,,
17:49:05.169,92.5498147875804,38.0134391835577,,,,,10.006823377085,,,5155,,0.03405566990349,195.554520178757,0.0343962266025249,197.48,28.7938003656139,,,,,,
17:49:05.439,,,8.29589501972763,,,50.0341168854248,,0.0428076976666667,514.441232376556,,,,,,,,,,,0.0122385593046734,20,
17:49:05.652,,,,,0.04,,,,,,,,,,,,,104,,,,
17:49:06.071,,,,,,,,,,,-1,,,,,,,,47.0588235294118,,,
17:49:06.314,100.850347818661,38.0147670740546,,,,,28.6548444773695,,,6813,,0.0431717119899942,195.563636220844,0.0436034291098941,197.48,82.4519270799242,,,,,,
17:49:06.560,,,9.47714975502299,,,98.8098085426534,,0.0518620688055556,514.450286747695,,,,,,,,,,,,29,
17:49:06.783,,,,,-0.03,,,,,,,,,,,,,97,,,,
17:49:07.324,,,,,,,,,,,-1,,,,,,,,41.5686274509804,,,
