time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
22:22:59.550,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:22:59.951,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:00.167,,,,,,,0,,,0,,,,,,0,,,,,,
22:23:00.428,,,,,,,,,,,,,,,,,,,,0.000145952454392121,0,
22:23:00.628,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:01.039,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:01.303,0,,,,,,0,,,0,,0,163.282936958888,0,164.92,0,,,,,,
22:23:01.574,,,,,,,,0,427.195754271917,,,,,,,,,,,0.00012162949648054,0,
22:23:01.777,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:02.286,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:02.565,,38.2220411429828,,,,,0,,,0,,0,163.282936958888,0,164.92,0,,,,,,
22:23:02.751,,,0,,,,,0,427.195754271917,,,,,,,,,,,7.29806987005417E-05,0,
22:23:02.986,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:03.431,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:03.712,,38.2220411429828,,,,,0,,,0,,0,163.282936958888,0,164.92,0,,,,,,
22:23:03.957,,,0,,,,,0,427.195754271917,,,,,,,,,,,0,0,
22:23:04.165,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:04.616,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:04.874,,38.2220411429828,,,,,0,,,0,,0,163.282936958888,0,164.92,0,,,,,,
22:23:05.068,,,0,,,,,0,427.195754271917,,,,,,,,,,,0,0,
22:23:05.262,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:05.734,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:05.968,,38.2220411429828,,,,,0,,,0,,0,163.282936958888,0,164.92,0,,,,,,
22:23:06.258,,,0,,,,,0,427.195754271917,,,,,,,,,,,0,0,
22:23:06.538,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:07.041,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:07.263,,38.2220411429828,,,,,0,,,0,,0,163.282936958888,0,164.92,0,,,,,,
22:23:07.544,,,0,,,,,0,427.195754271917,,,,,,,,,,,0,0,
22:23:07.822,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:08.334,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:08.606,,38.2222147456238,,,,,1.98402152210293,,,523,,0.000741623111583903,163.283678581999,0.000749039342699742,164.92,5.70885659472433,,,,,,
22:23:08.899,,,0,,,,,0,427.195754271917,,,,,,,,,,,0,0,
22:23:09.099,,,,,-0.02,,,,,,,,,,,,,98,,,,
22:23:09.575,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
22:23:09.837,,38.2224756824178,,,,,3.26623810808914,,,861,,0.00185633401672504,163.284793292905,0.00187489735689229,164.92,9.3983279695175,,,,,,
22:23:10.131,,,0,,,,,0,427.195754271917,,,,,,,,,,,0,0,
22:23:10.337,,,,,-0.43,,,,,,,,,,,,,57,,,,
22:23:10.796,,,,,,,,,,,-1,,,,,,,,20.3921568627451,,,
22:23:10.999,,38.2231064076856,,,,,8.34746123694367,,,3531,,0.00455076558210913,163.28748772447,0.00459627323793022,164.92,24.0191240875357,,,,,,
22:23:11.276,,,0,,,,,0,427.195754271917,,,,,,,,,,,0,0,
22:23:11.470,,,,,-0.42,,,,,,,,,,,,,58,,,,
22:23:11.953,,,,,,,,,,,-1,,,,,,,,22.7450980392157,,,
22:23:12.247,,38.2239034637852,,,,,9.82897416675762,,,4086,,0.00795575539858336,163.290892714286,0.0080353129525692,164.92,28.2820540836645,,,,,,
22:23:12.462,,,0.217810073623784,,,491.448708337881,,0.000658746444444444,427.196413018361,,,,,,,,,,,0.0115193223486624,2,
22:23:12.716,,,,,-0.31,,,,,,,,,,,,,69,,,,
22:23:13.224,,,,,,,,,,,-1,,,,,,,,17.2549019607843,,,
22:23:13.468,1647.54156030478,38.2245227497541,,,,,8.53944699747973,,,2984,,0.0108531214492523,163.293790080337,0.0109616526637448,164.92,24.5715471146648,,,,,,
22:23:13.685,,,1.30793377527556,,,77.6313363407248,,0.00440065341666667,427.200154925333,,,,,,,,,,,0.0651037979196615,11,
22:23:13.878,,,,,-0.22,,,,,,,,,,,,,78,,,,
