time,"Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:43:21.694,,,,,-0.01325,,,,,,,,,,,,,100,,,,
09:43:22.148,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:43:22.435,,,,,,,0,,,0,,,,,,0,,,,,,
09:43:22.684,,,,,,,,,,,,,,,,,,,,,0,
09:43:22.877,,,,,-0.01325,,,,,,,,,,,,,100,,,,
09:43:23.139,,,,100,,,,,,,,,,,,,,,,,,
09:43:23.590,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:43:23.849,,,,,,,0,,,0,,0,177.740227825318,0,179.52,0,,,,,,
09:43:24.144,,,,,,,,,,,,,,,,,27,,,,,
09:43:24.341,,,,,,,,0,467.610177409195,,,,,,,,,,,,0,
09:43:24.528,,,,,0,,,,,,,,,,,,,100,,,,
09:43:24.982,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:43:25.181,,38.0103420353448,,,,,0,,,0,,0,177.740227825318,0,179.52,0,,,,,,
09:43:25.360,,,0,,,,,0,467.610177409195,,,,,,,,,,,,0,
09:43:25.564,,,,,0,,,,,,,,,,,,,100,,,,
09:43:26.030,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:43:26.301,,38.0103420353448,,,,,0,,,0,,0,177.740227825318,0,179.52,0,,,,,,
09:43:26.508,,,0,,,,,0,467.610177409195,,,,,,,,,,,,0,
09:43:26.714,,,,,0,,,,,,,,,,,,,100,,,,
09:43:27.161,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:43:27.397,,38.0103420353448,,,,,0,,,0,,0,177.740227825318,0,179.52,0,,,,,,
09:43:27.661,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:27.939,,,,,0,,,,,,,,,,,,,100,,,,
09:43:28.437,,,,,,,,,,,1,,,,,,,,12.9411764705882,,,
09:43:28.624,,38.0103420353448,,,,,0,,,0,,0,177.740227825318,0,179.52,0,,,,,,
09:43:28.811,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:29.023,,,,,0,,,,,,,,,,,,,100,,,,
09:43:29.484,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
09:43:29.680,,38.0108700448732,,,,,8.38589999212259,,,1938,,0.00246902629225569,177.74269685161,0.00249371655517824,179.52,24.1297284023334,,,,,,
09:43:29.886,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:30.076,,,,,-0.47,,,,,,,,,,,,,53,,,,
09:43:30.441,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
09:43:30.695,,38.0111030364604,,,,,3.87806767282767,,,1691,,0.00355851866688457,177.743786343984,0.00359410385355341,179.52,11.1588165562556,,,,,,
09:43:30.937,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:31.147,,,,,-0.48,,,,,,,,,,,,,52,,,,
09:43:31.615,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
09:43:31.839,,38.0113359638916,,,,,3.42913210823391,,,1524,,0.00464771104081282,177.744875536358,0.00469418815122094,179.52,9.86704188043405,,,,,,
09:43:32.108,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:32.306,,,,,-0.48,,,,,,,,,,,,,52,,,,
09:43:32.734,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
09:43:33.016,,38.01158221693,,,,,3.51913557564162,,,1564,,0.00579921531057356,177.746027040628,0.00585720746367929,179.52,10.1260193576108,,,,,,
09:43:33.294,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:33.514,,,,,-0.47,,,,,,,,,,,,,53,,,,
09:43:34.009,,,,,,,,,,,-1,,,,,,,,12.9411764705882,,,
09:43:34.389,,38.0118760685283,,,,,3.60515812045246,,,1572,,0.00717329529093092,177.747401120609,0.00724502824384023,179.52,10.3735420617586,,,,,,
09:43:34.578,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:34.775,,,,,-0.06,,,,,,,,,,,,,94,,,,
09:43:35.339,,,,,,,,,,,-1,,,,,,,,32.5490196078431,,,
09:43:35.627,,38.0132178940997,,,,,18.2466452645935,,,4486,,0.0134478082256135,177.753675633543,0.0135822863078696,179.52,52.5032011950958,,,,,,
09:43:35.905,,,0,,,,,0,467.610177409195,,,,,,,,,,,0,0,
09:43:36.102,,,,,-0.07,,,,,,,,,,,,,93,,,,
09:43:36.575,,,,,,,,,,,-1,,,,,,,,32.9411764705882,,,
09:43:36.905,,38.0147485871273,,,,,20.1491368278219,,,5007,,0.0206054846078518,177.760833309925,0.0208115394539303,179.52,57.9774621273218,,,,,,
09:43:37.148,,,1.35866272690385,,,143.922405913013,,0.00483346733333333,467.615010876528,,,,,,,,,,,0.0786837596002576,14,
09:43:37.353,,,,,-0.18,,,,,,,,,,,,,82,,,,
09:43:37.817,,,,,,,,,,,-1,,,,,,,,33.7254901960784,,,
