,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,12:21,7.990815343974253,0.043816060933333324,6190.8,0.0036408689148127,36.0
11,12:22,24.6967462796705,0.242604864888889,3265.0,0.109647118769998,20.0
37,12:23,11.3639339691033,0.2961451805,6917.0,0.210425546903312,28.0
63,12:24,14.5411959658822,0.619470417555556,6041.0,0.361838368876076,46.0
89,12:25,17.9011138768684,1.06471237930556,7521.0,0.589350187579331,77.0
115,12:26,26.2310800777667,1.99959440877778,6455.0,0.912333533319043,58.0
140,12:27,24.3723779282608,2.25823302369444,1728.0,0.99169366875649,8.0
166,12:28,27.335680592198,2.98578244138889,4582.0,1.27734503001137,18.0
193,12:29,32.4633410970733,4.10624654886111,6043.0,1.69057824310957,68.0
218,12:30,31.5217959433719,4.49567178155556,1717.0,1.78093457227434,8.0
245,12:31,32.6722432321274,5.22963147544444,5124.0,2.05137795060203,47.0
271,12:32,34.6273485534038,6.11080906405555,5529.0,2.35499679363271,13.0
296,12:33,34.4997851025798,6.64764086705555,6061.0,2.55834719032216,49.0
322,12:34,36.5931105631598,7.65965534105555,7363.0,2.91795567719806,65.0
348,12:35,39.1671501080763,8.86170623419445,7704.0,3.4192231610674,77.0
373,12:36,40.4021321840603,9.80037775902779,1706.0,3.76934812863615,7.0
399,12:37,41.9561957638731,10.8955150855833,7607.0,4.31750072766678,76.0
424,12:38,42.1533669314479,11.6394816767778,6282.0,4.60078428507726,69.0
450,12:39,42.9771192482578,12.5963750330278,7074.0,4.84303954272283,63.0
476,12:40,44.0639228137806,13.6329738666111,3956.0,5.09855804596276,41.0
502,12:41,42.5343931604464,13.8834331622222,4195.0,5.19920921862273,28.0
527,12:42,42.4224756171469,14.5458839740833,7036.0,5.42450184325151,52.0
552,12:43,42.1245667942915,15.1361335489722,3878.0,5.62742709386378,34.0
577,12:44,41.3720274065978,15.5589197563889,1811.0,5.81438647030762,9.0
