,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,17:48,4.288885385440215,0.019326468999999978,4659.4,0.0071837584261051,14.4
3,17:49,4.15283008135098,0.0160895488333333,5619.0,0.0279015613302164,18.0
28,17:50,11.6292647921705,0.237123044333333,1602.0,0.136275932881374,3.0
54,17:51,21.7868310144089,0.80999964225,4035.0,0.300653668884658,28.0
80,17:52,25.2516624365435,1.35535834758333,4963.0,0.486582214086199,32.0
106,17:53,27.2077282746251,1.921736952,3803.0,0.684471044493342,19.0
131,17:54,22.3570572610721,1.94534045777778,1506.0,0.745903577978886,7.4
157,17:55,19.8887894512678,2.06658640511111,1710.0,0.852350239425657,8.2
183,17:56,20.7646230463003,2.50632085561111,1758.0,1.04073080774636,12.6
208,17:57,18.2502688325637,2.50632085561111,1794.0,1.10606538956592,9.2
233,17:58,21.1879442725638,3.25561621838889,6482.0,1.42530155613586,67.0
259,17:59,24.0584839810291,4.10215322313889,1678.0,1.66073773033623,5.0
285,18:00,27.8369499680315,5.21992897919445,8659.0,2.0741229543913,92.0
311,18:01,30.6011488455673,6.24995609397223,6316.0,2.27490052842258,68.0
337,18:02,32.8484588130305,7.2557896883889,5993.0,2.48643976960349,68.0
362,18:03,33.7026161757312,8.00658600430556,1760.0,2.66018737654569,12.6
387,18:04,33.1039268839825,8.40974936991667,5534.0,2.80437346283448,23.0
413,18:05,34.6941375481974,9.39552015944444,1702.0,3.06225022327568,20.0
438,18:06,32.7131078315175,9.40612042533333,1659.0,3.12063889932481,11.4
463,18:07,32.0266585942866,9.72896351327777,5213.0,3.28420528025504,60.0
489,18:08,32.9075963722647,10.5441324854444,4330.0,3.50606181919975,46.0
515,18:09,31.725053836569,10.7033738640833,1643.0,3.5741437891141,13.4
541,18:10,31.7805991563102,11.2551069386111,5020.0,3.74438298528763,37.0
566,18:11,32.5477185052934,12.0533072541944,4992.0,3.96062705979435,57.0
592,18:12,31.9869618901602,12.3932249901944,1714.0,4.04730856848002,11.0
618,18:13,31.9726227682067,12.9096574027778,5302.0,4.22792609818061,24.0
643,18:14,31.4211431528175,13.2135241096944,1715.0,4.33140680876309,12.6
668,18:15,30.2131763548739,13.2135241096944,1695.0,4.39234962698334,12.2
693,18:16,29.1058556531363,13.2135241096944,4642.0,4.45821594659951,26.0
719,18:17,28.3674382296479,13.3506042978055,1742.0,4.55037683610035,14.4
745,18:18,28.6171913488374,13.9441033953889,8339.0,4.89273423747242,91.0
771,18:19,29.1372969184597,14.6824421950555,1773.0,5.06837088035096,12.0
797,18:20,29.1407620553711,15.1773600485278,5033.0,5.28131950610284,60.0
822,18:21,28.6389161876486,15.3788029689722,1767.0,5.35638365782458,12.0
