,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,23:06,0.0344068162987374,0.0003371021388888,1584.2,0.0028906416757199,7.4
1,23:07,0.0332774386728894,0.0003371021388888,1541.0,0.004032239892813,7.8
22,23:08,3.55499879818711,0.0843289215277778,1677.0,0.096254101368508,15.4
48,23:09,19.8666381025725,0.803255813166667,7262.0,0.402375190846714,38.0
73,23:10,32.0648343996872,1.82348035238889,7978.0,0.856464584955845,81.0
98,23:11,42.650226459818,3.12789373955556,7066.0,1.44434932649796,74.0
123,23:12,48.9037436164314,4.40340220936111,8202.0,1.91659146176443,84.0
148,23:13,49.4609443912049,5.28159556497222,1758.0,2.07669129248875,8.6
174,23:14,51.8406495921095,6.42516057402778,7101.0,2.54047462576611,73.0
198,23:15,54.4763143226539,7.61919301863889,7690.0,2.93534798886679,75.0
224,23:16,53.6164597306566,8.42773676730556,1797.0,3.18850330133191,9.2
249,23:17,51.2306404759406,8.88742482597222,1715.0,3.37819225792126,15.2
274,23:18,46.7475439127992,8.88742482597222,7334.0,3.45624411552231,70.4
300,23:19,48.5249144506818,10.0333611265833,6117.0,3.91090395733878,55.0
325,23:20,45.6429600547604,10.2085517509722,1648.0,3.97312276832644,11.2
350,23:21,46.6113154615611,11.1902476676667,4943.0,4.3495069053262,49.0
375,23:22,46.501125162361,11.9306299188611,1714.0,4.57623422298054,8.0
401,23:23,46.8937739875247,12.8168754244445,3804.0,4.87417729132886,31.0
427,23:24,47.6816300542709,13.8413899193889,5096.0,5.33380128957571,58.0
452,23:25,47.2829138792295,14.49172218125,1750.0,5.51418962364563,11.8
477,23:26,45.0741268387274,14.57044325425,5591.0,5.61901966876597,43.0
503,23:27,43.6320723951295,14.8502303034167,7237.0,5.774350014694,64.0
