,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,18:46,32.52548055976744,8.624607937688761,4343.698232323232,3.1157606079130655,38.021452145214525
7,18:47,2.27424495525744,0.0127136962222222,1624.0,0.0291987754637555,7.8
33,18:48,10.1847367499659,0.228698481277778,1808.0,0.151054268795774,9.6
59,18:49,20.2567563995255,0.791207750722222,6951.0,0.376163865777159,58.0
84,18:50,30.5701572726374,1.69511965513889,5675.0,0.647124045673702,61.0
107,18:51,31.6554370508026,2.226939152,4641.0,0.799200681836742,34.4
113,18:52,33.0136099678332,2.44889144494444,7690.0,0.937090339173168,78.0
138,18:53,40.4672158093936,3.67120571236111,7703.0,1.41023268809478,80.0
164,18:54,40.9581049956419,4.39460390191667,1661.0,1.58932420283027,7.8
189,18:55,41.3122641831916,5.10559104952778,6869.0,1.89295940962346,63.0
214,18:56,42.8186351203855,6.013908163,5895.0,2.20250730104565,38.0
239,18:57,40.5135254374029,6.36167838372222,1750.0,2.28903873675372,11.2
264,18:58,39.6644929168837,6.89437466583333,6480.0,2.49916667009347,67.0
289,18:59,39.7350236599123,7.56671953683333,1668.0,2.66519448539862,7.8
314,19:00,36.5690411012424,7.56671953683333,1667.0,2.72503170409151,7.8
340,19:01,36.8643381678854,8.26418641727778,2104.0,2.91126485529298,11.0
364,19:02,34.5149561191872,8.29977541930555,4099.0,2.98492844310992,15.0
389,19:03,34.2387739678942,8.79904161202778,6784.0,3.18703016805584,48.0
414,19:04,33.994245413661,9.31223808097222,6996.0,3.36179009549006,47.0
439,19:05,33.5479293209318,9.75454671425,6870.0,3.55341260301826,69.0
464,19:06,33.6116332085597,10.3429261870278,1620.0,3.72595607326208,12.0
472,19:16,33.1765490222242,10.3764876761111,2231.0,3.74661809382921,11.2
477,19:17,33.0869264490584,10.4471694998056,3963.0,3.79197425782435,27.0
502,19:18,33.1292579884033,11.0162851156944,4219.0,3.9793437691031,36.0
527,19:19,32.6637337559432,11.4044513648056,4045.0,4.08742559986351,36.0
551,19:20,32.3781489750125,11.8253526266667,5958.0,4.21848800308241,31.0
577,19:21,32.5040154053074,12.4305233692778,1792.0,4.37778922408935,8.2
601,19:22,31.9976903893648,12.7598430729444,1799.0,4.5165071270876,4.0
626,19:23,30.7253996413528,12.7605692832222,2123.0,4.57714462743394,10.2
652,19:24,31.1355420490054,13.4596503048056,3712.0,4.80290777538101,3.0
676,19:25,30.0076594798958,13.4642088571111,1663.0,4.86600000479781,7.8
700,19:26,30.5676621832825,14.2372043026944,5589.0,5.11880947153585,38.0
724,19:27,29.9270241666101,14.4247585751945,4537.0,5.20501078741846,20.0
749,19:28,29.8198033549011,14.8820304135278,4192.0,5.37981555918652,37.0
774,19:29,29.1264977156267,15.0145332778056,4997.0,5.46728983343544,24.0
