,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,22:22,0.1806473688183306,0.006175700488888861,1707.2,0.00455701426644,8.8
1,22:24,0.105765106447326,0.0034622671111111,1792.0,0.0120023009669137,11.0
10,22:25,0.676949618600089,0.0261777184722222,4728.0,0.051976548642059,10.0
36,22:26,12.3983017885745,0.685764133666667,4467.0,0.263537258362329,46.0
62,22:27,19.5279805480017,1.41474959913889,1712.0,0.519275770156614,14.8
87,22:28,17.2018931337748,1.52739927144444,1750.0,0.617688448797996,10.4
112,22:29,22.0286125570729,2.32038216772222,7405.0,1.0013529657116,76.0
137,22:30,28.5778435366424,3.48248021697222,7128.0,1.4118247295355,73.0
162,22:31,35.3959032348267,4.90168187580556,7211.0,1.84374233713393,76.0
188,22:32,38.3385770940912,5.95408297883334,7045.0,2.12254484852723,72.0
213,22:33,42.4134936279364,7.28560867191667,7613.0,2.510797039902,78.0
239,22:34,44.0123816235421,8.30327130088889,7178.0,2.74218947799121,61.0
265,22:35,43.1232116692397,8.86874416036112,1664.0,2.90026383544619,12.4
290,22:36,41.0771074552891,9.12585111069445,7275.0,3.08455761077064,78.0
315,22:37,42.6301383627275,10.1881880086389,1773.0,3.35494967035331,8.0
339,22:38,40.5010252468644,10.3363614830278,6086.0,3.50721577666653,65.0
365,22:39,42.2595472619345,11.4953508583056,6560.0,3.85197975827626,68.0
391,22:40,41.2570865022606,11.9150498239722,1727.0,3.94972354946607,16.4
417,22:41,41.4687393969003,12.6615890682222,3827.0,4.24502183359836,26.0
442,22:42,39.4109394338341,12.6887306668611,1608.0,4.30127590051788,11.8
467,22:43,37.8924311499677,12.8250038753889,1667.0,4.39366906623113,5.0
493,22:44,36.3712683502743,12.94190237175,7462.0,4.53702826311198,70.0
518,22:45,36.6485071337327,13.6475319154445,1738.0,4.82666067122145,11.8
542,22:46,36.3252776492345,14.11010627675,3849.0,4.97188824781264,26.0
569,22:47,35.6068275271666,14.4415740485278,5264.0,5.13995969460182,57.0
594,22:48,34.8681494597845,14.7134175641945,1749.0,5.23293721438517,11.6
620,22:49,33.8330165687496,14.8502555419167,1770.0,5.32983663819613,12.8
