,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,13:00,0.7125276675200233,0.009990973838888858,3064.2,0.0041107523861015,7.2
1,13:01,0.0592418114841098,0.0007180919444444,4047.0,0.0133047413541763,2.0
17,13:02,4.61448344975261,0.104375178166667,5122.0,0.0875343356611932,19.0
42,13:03,19.0081405680974,0.742247157638889,6156.0,0.306720742649593,36.0
67,13:04,26.2146424560145,1.4605137875,1668.0,0.537613160013784,6.0
92,13:05,21.7246199143159,1.56812375261111,1750.0,0.629771118186561,6.6
118,13:06,23.9339062758357,2.12899691283333,6201.0,0.902520387851671,60.0
135,13:07,25.3343253469319,2.53037624883333,3913.0,0.9899830841593023,32.4
144,13:08,24.5643878986809,2.61286244086111,3900.0,1.05367895589024,17.0
170,13:09,28.5857140127274,3.52223322986111,6894.0,1.47728205747669,70.0
196,13:10,34.4154500396381,4.82998318019444,7223.0,1.89084537880337,75.0
221,13:11,36.8422629980239,5.77603238027778,6263.0,2.10672355309163,64.0
246,13:12,36.1133336874979,6.27102918111111,6652.0,2.31455857966256,68.0
271,13:13,39.2453851152257,7.46625751058333,5889.0,2.67781684637403,63.0
296,13:14,40.7212322852334,8.41115688697222,6981.0,2.94862547559538,67.0
322,13:15,37.9834760945501,8.48814177033333,1649.0,3.01289701273097,9.0
347,13:16,38.3613208932732,9.19659273080556,6159.0,3.28059551866382,62.0
373,13:17,39.2034432654907,10.0625332010833,2129.0,3.51856683924623,11.0
398,13:18,37.9827838178634,10.3797495841944,6214.0,3.69946512452697,59.0
424,13:19,39.362867226228,11.4275145919444,7108.0,4.06825873495501,73.0
449,13:20,39.0074296001989,11.9649147484444,1731.0,4.21717618728983,9.8
474,13:21,39.0780310431343,12.6242357968889,4068.0,4.46180310387355,37.0
500,13:22,37.6474973700062,12.797981228,5514.0,4.57036243301075,45.0
526,13:23,36.9574206541242,13.1834291461111,7170.0,4.7488086661651,73.0
552,13:24,38.2802351915754,14.295616486,5999.0,5.0907173280621,65.0
577,13:25,37.342734655429,14.558787094,1637.0,5.1461080523892,11.2
603,13:26,36.393722796506,14.8103570738611,4279.0,5.25500769165883,10.0
628,13:27,35.3795153199359,14.971235946,5973.0,5.364296642396,37.0
