,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,20:29,0.650948234965918,0.01883387537777778,3503.2,0.006572471796398,12.4
1,20:31,0.0243393346231493,0.0006568832777777,3090.0,0.0111547312661434,2.0
23,20:32,11.6799905896065,0.481073027833333,6855.0,0.245466573925648,69.0
48,20:33,23.0467709923611,1.3283391605,1644.0,0.526946345172158,10.8
73,20:34,25.0175676025846,1.85024874772222,6505.0,0.724282240691459,75.0
99,20:35,31.8526341987967,2.9000774575,6826.0,0.946104180999506,54.0
124,20:36,37.1858369279317,4.00492999488889,7010.0,1.19407252254203,75.0
149,20:37,40.6029914299513,5.05732608063889,3880.0,1.35085083664673,39.0
173,20:38,36.2966903025938,5.10331499430556,1775.0,1.40753714268255,12.6
199,20:39,35.2666552700895,5.56893406863889,1811.0,1.59266653506352,11.2
224,20:40,36.5568954235313,6.36594034561112,5591.0,1.83732012392284,49.0
250,20:41,34.1379375751473,6.51768304272223,1818.0,1.89251711101724,7.8
275,20:42,34.1097822270428,7.07887791780556,1675.0,2.09114794835249,10.4
300,20:43,34.180673264128,7.66986747505556,3894.0,2.2964263156139,38.0
325,20:44,32.1217743321924,7.74631687663889,3407.0,2.37142696583446,24.0
350,20:45,30.1523483589428,7.76619860722223,1782.0,2.42957013429599,12.6
375,20:46,30.3376993326292,8.31352030061112,5013.0,2.64810494393721,48.0
400,20:47,29.9319020920876,8.70027700619445,3709.0,2.76942842164847,29.0
