,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,17:11,5.167207032998024,0.0320888930111111,4714.2,0.0025488375991802,18.2
1,17:12,1.01407860671245,0.0043247425833333,4708.0,0.0120065543281171,11.0
23,17:13,10.6013934979007,0.201009917083333,1639.0,0.144460509803338,7.2
48,17:14,10.6890663862815,0.377228139944444,6189.0,0.272697364730104,25.0
74,17:15,10.4974540442661,0.547066755472222,4855.0,0.399493555802143,44.0
99,17:16,8.91516211882093,0.609842457444444,1711.0,0.45805840209653,7.4
125,17:17,9.30415287517621,0.793365788666667,1757.0,0.561953319142332,5.4
151,17:18,7.75472115968245,0.793365788666667,1673.0,0.628082463398285,7.2
175,17:19,7.07150775029486,0.837507692388889,6511.0,0.72811372131633,41.0
200,17:20,8.22334013443254,1.11032146611111,6578.0,0.844147322571011,28.0
226,17:21,10.7351427079464,1.63332034652778,4051.0,1.02989991436419,28.0
251,17:22,12.1664746061516,2.05216913780556,1742.0,1.17996407221559,7.0
276,17:23,11.7811816893501,2.18073668919445,4197.0,1.29208317448872,27.0
302,17:24,11.1395636390004,2.25033703391667,1670.0,1.36065775023104,7.2
327,17:25,12.2182197408239,2.67259882877778,5244.0,1.5488753835316,39.0
352,17:26,13.2972671077919,3.12866748722222,5667.0,1.7285647984053,49.0
377,17:27,15.8641649860774,3.99529405022222,6931.0,2.06347619865017,69.0
402,17:28,18.0902275792807,4.86139835422222,6570.0,2.41975807503786,51.0
427,17:29,20.0319425044475,5.71614703505556,6193.0,2.77627124089235,46.0
452,17:30,21.5910259324118,6.51662420069445,5402.0,3.11399703210154,37.0
477,17:31,23.1242379224867,7.36321468963889,6452.0,3.49561703104421,40.0
503,17:32,22.8181689235757,7.65352689372223,3218.0,3.61135782906881,16.0
528,17:33,22.496867362992,7.92080255647223,4978.0,3.72427301013,17.0
553,17:34,22.6147048133699,8.33247168927778,4757.0,3.85918957693057,25.0
