,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,20:04,1.0758115951621212,0.02778978609999998,3146.6,0.0044977927537418,14.4
1,20:05,0.176152572631025,0.0042371613333333,4328.0,0.0114904260258411,12.0
8,20:06,1.61433615435737,0.0462311811666667,1638.0,0.0380376231289136,9.8
33,20:07,17.1922425191793,0.779023120472222,3692.0,0.327966347136108,21.0
58,20:08,20.2354338093722,1.25488476152778,6402.0,0.54876123488818,52.0
83,20:09,23.0891587939315,1.81146443183333,5027.0,0.71178902548908,53.0
109,20:10,26.9846389179711,2.578732905,5224.0,0.880187257369831,55.0
134,20:11,30.7794682574583,3.44426891002778,6276.0,1.07475087086265,64.0
159,20:12,33.9101666643015,4.36674777094445,6533.0,1.22515823376561,69.0
184,20:13,35.213660057943,5.11704199688889,1676.0,1.34914245186898,7.4
209,20:14,31.6294133690118,5.12069513108333,1648.0,1.4145077050009,9.8
234,20:15,31.2957961332131,5.5924463745,1815.0,1.60191420715413,7.4
259,20:16,32.8570372102554,6.40611511844445,6218.0,1.87842850072493,54.0
284,20:17,30.9524373032537,6.54409700752778,1703.0,1.93275682636915,5.0
310,20:18,29.8405675477606,6.80956323772222,1703.0,2.04847640420932,5.0
336,20:19,30.3224475235259,7.4392326885,4734.0,2.30004668173732,54.0
360,20:20,29.605279497877,7.74134942480556,5410.0,2.40572065164719,13.0
385,20:21,27.986892272633,7.79728896433334,1716.0,2.4714176662485,3.6
410,20:22,28.3036284775488,8.36025270680556,5592.0,2.69530570721665,48.0
435,20:23,27.9450524900394,8.71482638438889,4128.0,2.81435736935773,37.0
460,20:24,27.1566148925455,8.91095056655555,1934.0,2.88027224321905,14.0
