,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,16:21,4.275325356473535,0.017127908400000003,3871.0,0.0019329131995362,11.8
16,16:22,15.8339084099168,0.197635036277778,5469.0,0.143509180345442,36.0
40,16:23,20.856628001571,0.611753849444444,1702.0,0.291867316328719,8.8
64,16:24,13.2626748736784,0.611753849444444,4694.0,0.364221077139064,38.4
87,16:25,12.7857935623556,0.796300820222222,1653.0,0.461041462473114,9.6
111,16:26,10.0585733355794,0.796300820222222,1712.0,0.526937513916371,8.2
135,16:27,11.1965428335464,1.07435272955556,1702.0,0.646735426930288,12.0
158,16:28,13.2873970635872,1.48952088663889,5562.0,0.829849688805097,37.0
182,16:29,16.2404164821419,2.09748077763889,3787.0,0.996759479795902,22.0
206,16:30,17.0738861417966,2.48990412377778,5620.0,1.16933215584603,43.0
230,16:31,18.9650826308023,3.08723129266667,5667.0,1.3501873544915,39.0
253,16:32,19.156350347609,3.42562048277778,4805.0,1.49994727911258,44.0
278,16:33,21.0724038374022,4.12731058730555,5217.0,1.75032464311077,53.0
302,16:34,23.394592901113,4.97722348725,6245.0,2.06731473785701,50.0
325,16:35,25.0430062769543,5.73248140655556,6306.0,2.36590844554714,41.0
349,16:36,26.21509334063,6.44063389525,6139.0,2.65871387337495,45.0
373,16:37,27.1117615273954,7.11397422194444,5746.0,2.93312909555964,46.0
397,16:38,26.4275445008162,7.37593776036111,7241.0,3.08248608459341,24.0
421,16:39,25.2990269107172,7.48154345683333,1737.0,3.15659212130155,6.8
445,16:40,25.2846822969285,7.90224570355556,3668.0,3.31196186001255,23.0
469,16:41,25.4587973361659,8.38392795280556,4339.0,3.46123993419301,30.0
475,16:44,25.3141173017639,8.4426296223889,2183.6,3.4690342000163903,15.8
481,16:45,25.0024748068771,8.4426296223889,1709.0,3.48780401142805,7.2
505,16:46,24.1509728742143,8.55975923572223,1849.0,3.57514011355005,9.4
