,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,12:30,6.287716501574467,0.028404826294444418,4406.0,0.0017864566545935,22.4
7,12:31,12.5352148178566,0.0832417113888889,5725.0,0.0720664125643142,20.0
33,12:32,19.7734910849569,0.458381829388889,1645.0,0.238130320448939,14.0
58,12:33,12.1692208792772,0.479753275277778,6302.0,0.314672439568723,11.0
84,12:34,12.3668068237227,0.697559261333333,1687.0,0.428300685530617,8.4
109,12:35,13.1177444156556,0.954285031805556,1899.0,0.5534717599144,10.0
135,12:36,16.1627194682502,1.44943571822222,4557.0,0.78192377721049,51.0
160,12:37,21.1942884003938,2.24889532525,3728.0,1.0312423109203,24.0
186,12:38,19.5148836930444,2.40054851775,6335.0,1.14792103495456,30.0
212,12:39,24.2734394395889,3.38893462508334,5893.0,1.45889974599442,57.0
238,12:40,25.6691233627909,4.00871465888889,1729.0,1.63220104700334,7.2
264,12:41,28.0157399524505,4.83911364497222,6058.0,1.94538972674358,40.0
290,12:42,26.1732032179218,4.96903080561111,1808.0,2.01395210257985,9.2
315,12:43,25.8956279752945,5.34619327822222,6000.0,2.22310806507922,67.0
341,12:44,26.4791365145684,5.91183015727778,7475.0,2.4638769820407,77.0
366,12:45,27.1662294730151,6.51406796333333,1712.0,2.62395804440418,12.0
392,12:46,28.7409885614524,7.37406745080555,7106.0,2.95461690009879,58.0
417,12:47,31.4608380878651,8.59070849427777,6778.0,3.43542616967583,50.0
442,12:48,34.1948931629471,9.90197796188889,6671.0,4.06575133660886,75.0
467,12:49,36.2514245197691,11.1057700693889,2211.0,4.54338377451144,18.0
492,12:50,36.0479049028779,11.6452012349444,6788.0,4.84504546084356,59.0
517,12:51,35.2032918936174,11.9536794975555,1708.0,4.91767164452594,7.2
542,12:52,34.0912046828256,12.1470925093889,7893.0,5.09083773866365,79.0
568,12:53,35.66369414223,13.3123525018611,5386.0,5.40746440110762,64.0
593,12:54,35.5129240133554,13.8333368337778,1762.0,5.53201949003996,10.6
619,12:55,34.8528183531607,14.1695763865278,6936.0,5.72661953264208,54.0
644,12:56,35.3612256836698,14.9535258419444,4288.0,5.96967929199191,50.0
670,12:57,34.9579300410303,15.3702955907778,6186.0,6.1362835961419,22.0
695,12:58,34.595430793349,15.7844800938611,1814.0,6.3138561689234,9.0
