,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,13:35,0.7779713770503836,0.033469344150000004,4531.8,0.0025568981074277,24.8
1,13:37,0.0277010718941291,0.00113566625,1654.0,0.0048669623948825,3.0
6,13:38,1.9164251965341,0.0847206302777778,5151.0,0.0555880502628019,17.0
31,13:39,10.7566806074423,0.652344820277778,7155.0,0.265219296533311,57.0
57,13:40,18.3551864931669,1.42064379419444,1806.0,0.470231861739658,12.4
83,13:41,22.2007434501083,2.09156484758333,1768.0,0.709474968345021,13.0
108,13:42,19.7042453050699,2.17644155958333,3927.0,0.803903850444965,28.0
134,13:43,21.4666632899883,2.73082699144444,7029.0,1.04362572883272,57.0
160,13:44,26.6401964928802,3.83901928205555,5821.0,1.41464273277615,58.0
186,13:45,31.8688864162394,5.13274978538889,6762.0,1.80100773926129,73.0
211,13:46,32.7630827729652,5.80626430166667,1650.0,1.90752171626834,6.6
237,13:47,35.6391932402884,6.92358487683334,7805.0,2.29972672254708,81.0
262,13:48,38.6744141826679,8.15383484141667,4604.0,2.63095372633545,46.0
288,13:49,39.7512429344245,9.04941106875,3993.0,2.82722365610457,35.0
313,13:50,37.1765246837512,9.08047865533333,1681.0,2.88187488478256,5.8
338,13:51,37.9916660220692,9.89452105252777,5850.0,3.12420898287683,56.0
365,13:52,38.4020836637328,10.6624998563889,1692.0,3.31505855666029,7.2
390,13:53,37.5832303523297,11.0528680890555,4432.0,3.49409813187532,45.0
416,13:54,38.8861409965373,12.0831610297778,6072.0,3.81589840874219,57.0
441,13:55,38.1949285331519,12.4934358066944,4105.0,3.94428621783745,12.0
467,13:56,38.2514210522019,13.1639757713611,4740.0,4.16449218484745,49.0
492,13:57,36.9773814927207,13.3453217628611,1728.0,4.23492440460809,14.8
517,13:58,35.7769007495498,13.49808576125,1780.0,4.33138363026199,12.6
543,13:59,35.3040734697549,13.9207812708611,8171.0,4.59157975025459,85.0
568,14:00,36.1422249907963,14.8365603040278,6951.0,4.81893408923696,29.0
594,14:01,36.0158173986723,15.3925652478333,1699.0,4.98975773866102,7.2
620,14:02,34.8007248769457,15.4625803528055,5073.0,5.08785967310205,36.0
645,14:03,33.9493533128075,15.6423513253889,3558.0,5.18557971900932,21.0
