,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,14:34,4.261255705152867,0.0161793157944444,3920.0,0.0022644504324171,12.6
11,14:35,14.9733258540687,0.123986226277778,4668.0,0.094533002647823,24.0
38,14:36,23.9451876393153,0.61042050225,1589.0,0.309251825150536,7.8
63,14:37,18.9000039850074,0.794112246861111,1738.0,0.423586219974961,7.8
88,14:38,13.5625905778591,0.794112246861111,1629.0,0.490228118897886,6.2
113,14:39,14.4197063892448,1.08432094447222,1784.0,0.628412866491227,8.4
138,14:40,16.0350130852384,1.47572415494444,1727.0,0.804705974153944,7.8
164,14:41,19.917807766937,2.16852129508333,1817.0,1.04994806262884,8.0
189,14:42,20.7239748130677,2.59863240888889,1709.0,1.23454598860905,5.6
215,14:43,22.7832462095744,3.23815473252778,6426.0,1.47973773275096,19.0
240,14:44,22.4104475928764,3.555219622,1782.0,1.62496765813417,7.0
265,14:45,26.1131617251934,4.57287854161111,6579.0,2.13632239674253,67.0
290,14:46,29.8441914698348,5.72351107002778,6503.0,2.66351874164972,53.0
316,14:47,31.3883009460178,6.56180618391666,5618.0,2.98094341985893,38.0
341,14:48,31.441857254542,7.08720963769444,7317.0,3.23638615766072,68.0
365,14:49,30.4264343430842,7.35232133758333,2682.0,3.363111510255,5.0
391,14:50,29.4854552075942,7.62884432649999,1660.0,3.50425031386444,4.8
416,14:51,28.116181404441,7.74032723055555,1771.0,3.58730816099923,7.2
441,14:52,28.4164611298467,8.29553391219444,6169.0,3.84270389162297,64.0
467,14:53,27.894861458329,8.61386250408333,1739.0,3.9357940393037,7.8
