,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,10:40,5.221374458320279,0.022467188949999977,4691.6,0.0032260427930206,16.6
8,10:41,12.7749714482777,0.0911650145555555,4260.0,0.0856109382270052,24.0
34,10:42,20.0538416157991,0.473147700888889,1637.0,0.311602294383752,5.4
60,10:43,13.0682939565379,0.526705410083333,6712.0,0.426418557239859,45.0
87,10:44,12.2649059266663,0.698052860805556,3818.0,0.51651483989637,24.6
113,10:45,13.2806889420466,0.973652579472222,1719.0,0.661918093193597,4.6
140,10:46,19.3870729867902,1.75101870302778,7120.0,1.02911264372331,71.0
166,10:47,21.9111158627419,2.34353672147222,4108.0,1.20232806839282,15.0
192,10:48,19.9418910414067,2.46020650333333,1742.0,1.27463371349432,7.0
220,10:49,23.6145765164512,3.31514385211111,6909.0,1.63430404593262,63.0
246,10:50,25.252288673302,3.95387555091667,3608.0,1.78530293777999,9.0
273,10:51,27.1315948071885,4.7067619755,6298.0,2.07760720260567,66.0
299,10:52,26.2410026338597,4.99152564358333,1736.0,2.15166953849902,6.0
326,10:53,25.606856534243,5.30324481555555,7062.0,2.31440487763789,44.0
353,10:54,26.1813350782031,5.84992521083333,6222.0,2.54181963847882,71.0
380,10:55,27.0762584893001,6.50960606322222,4669.0,2.73858410414593,25.0
406,10:56,28.6962954828469,7.36751080388889,7071.0,3.04605906930045,42.0
432,10:57,31.634771926561,8.64336435177777,7259.0,3.58696876776835,57.0
459,10:58,34.1509938833858,9.91334578688889,4698.0,4.0624844161552,53.0
485,10:59,36.1700907468319,11.1044269314444,7552.0,4.61480024408935,73.0
511,11:00,36.4711312624016,11.8074576406667,6859.0,4.89513878467663,76.0
537,11:01,38.0449864439955,12.9454179486389,7426.0,5.20080110066878,83.0
562,11:02,38.26239235817,13.6457248630833,7276.0,5.38114830485688,54.0
589,11:03,38.2456362518543,14.2769928898333,5854.0,5.57316009176015,55.0
607,11:12,34.057915337188795,14.6284994725556,4636.0,5.67286714200343,40.6
612,11:13,37.8837184911133,14.6747267591944,5030.0,5.7120413729541,27.0
639,11:14,38.1478376579428,15.4244647874444,7162.0,6.02119814301887,53.0
665,11:15,38.3883603344174,16.1646321312778,3761.0,6.27625926389244,26.0
685,12:01,34.44889562534735,16.2691522756111,5209.0,6.33459759939945,43.8
706,12:02,37.232192566475,16.64800737575,6696.0,6.57509691216338,51.0
732,12:03,37.1989763597137,17.2552782860833,3672.0,6.77374042299006,8.0
759,12:04,36.0257317035661,17.3243139994167,3320.0,6.85420922264583,5.0
761,23:06,35.9593005393826,17.3267979121389,2218.4,6.847596259288897,5.0
