,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,09:43,5.748439620306391,0.03087034909999998,3971.6,0.0035585186668845,18.0
11,09:44,14.2960407720622,0.142074879583333,3385.0,0.120382738210461,26.0
37,09:45,7.86699361276461,0.211204427972222,6882.0,0.235245673646186,28.0
64,09:46,19.6299931130801,0.861088599027777,5343.0,0.47930853386261,50.0
89,09:47,22.3059953395356,1.34065402211111,6218.0,0.681876492735219,62.0
115,09:48,28.9611221539626,2.22721009366667,6910.0,0.981743667774368,63.0
141,09:49,25.4402659421043,2.38343153472222,1675.0,1.04706505188351,7.6
167,09:50,22.1954950095712,2.45167114008333,6955.0,1.15657125809211,41.0
187,09:51,23.6819170141033,2.921394944,1355.0,1.27434046583279,11.0
206,09:52,23.6080519111751,3.19139629458333,1648.0,1.38069738001546,8.0
231,09:53,22.8358835085963,3.46171800091667,6567.0,1.56275130203815,67.0
257,09:54,27.0101752114334,4.55137161430556,6170.0,1.88178824780304,53.0
283,09:55,25.520725258336,4.72353169438889,1791.0,1.94770326517064,8.8
309,09:56,27.0529698003246,5.45895654891667,4243.0,2.2085089791886,42.0
335,09:57,28.3576043361816,6.18641405222223,4558.0,2.44233463990389,46.0
361,09:58,28.5593503558031,6.7109841913889,5034.0,2.61654193109184,54.0
387,09:59,30.6311732782246,7.72049119775001,7390.0,2.9590763244527,74.0
412,10:00,32.7124894539098,8.78146098736112,7463.0,3.33457332722812,70.0
437,10:01,34.5660068121293,9.85187591658334,8476.0,3.78937407562745,87.0
462,10:02,37.1606343673486,11.2120597531111,5885.0,4.38936526868686,63.0
487,10:03,37.7073559532537,11.9984279777222,1741.0,4.62018078707805,8.0
513,10:04,36.2088674407461,12.1419502582222,7378.0,4.76780960755281,74.0
538,10:05,37.5281264625242,13.1953196367778,6698.0,5.0469299038427,63.0
564,10:06,37.6823027013771,13.8951041003334,3237.0,5.22925319014755,18.0
589,10:07,36.1712886609489,13.9331534847778,5287.0,5.2975394763404,21.0
614,10:08,36.8127428732062,14.7927214308889,6842.0,5.60264272610659,62.0
639,10:09,37.0901179841274,15.5104074038889,6488.0,5.86953283900021,49.0
