,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,09:23,2.124801807314545,0.02365593307777776,3912.4,0.0022484400361603,17.0
1,09:24,0.395704503854786,0.0037981171944444,4672.0,0.009544327159162,13.0
16,09:25,8.43124643123734,0.158753458083333,6581.0,0.143455056020452,8.0
42,09:26,19.8364545035617,0.700773596722222,1538.0,0.352214455314357,9.0
68,09:27,18.6306777937953,0.970706879611111,1688.0,0.496362985327739,8.6
93,09:28,25.0867223550231,1.72184013288889,7506.0,0.837765543228371,73.0
119,09:29,26.7090039821405,2.28777116902778,1710.0,0.992684269779794,7.8
144,09:30,28.6744867848679,2.93279702222222,5423.0,1.24486152429761,56.0
169,09:31,29.7050904586067,3.521998057,7129.0,1.43380148964497,60.0
195,09:32,34.32704118413,4.65009318011111,3793.0,1.76719221828384,32.0
220,09:33,32.8415887570936,4.99543446825,6550.0,1.96524684709899,69.0
246,09:34,34.2338770449021,5.78521247225,7583.0,2.2324967403196,77.0
271,09:35,35.2464671630903,6.52641884880556,3538.0,2.40635778128344,24.0
297,09:36,36.0334513987383,7.28535407372222,7149.0,2.67766112168785,55.0
315,09:37,36.6389138992643,7.84215458686111,4632.6,2.809938482615308,33.6
325,09:38,36.2534401895036,8.04812833158333,7238.0,2.97217605332481,71.0
351,09:39,36.8699380335101,8.81225781722222,7251.0,3.29769836719706,68.0
376,09:40,39.1666168958559,10.00236172225,7589.0,3.7629401825697,75.0
402,09:41,41.4614111119177,11.2946872347778,7472.0,4.33710187063345,66.0
427,09:42,41.4683788788935,11.9867037544444,1749.0,4.51672620061465,9.4
452,09:43,39.9387070296797,12.2176100685278,8492.0,4.71607461782623,86.0
477,09:44,40.9179250233505,13.1826691977778,7014.0,4.91006259884231,41.0
502,09:45,39.2716340526668,13.3069708100278,1739.0,4.97315101118048,8.2
528,09:46,38.0355777527481,13.5374913278611,7091.0,5.10996460610348,40.0
553,09:47,37.3320484045225,13.8944599696111,1679.0,5.20709660369539,8.4
578,09:48,36.9237101888737,14.3549211234722,5388.0,5.42267302900047,61.0
603,09:49,37.3918720884362,15.1567293751667,5672.0,5.67973710953228,43.0
629,09:50,36.128028809571,15.2641406879722,6992.0,5.78132138128482,29.0
654,09:51,35.9460708256051,15.7801688598333,2698.0,6.00185686285884,8.0
