,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,10:29,20.711593302280647,3.781900294358446,4358.171875,1.7594598708875497,45.42424242424242
1,10:30,0.164743403184238,0.0007420170555555,1661.0,0.0031729088888215,2.0
20,10:31,10.8239798194606,0.18077994675,1631.0,0.138543104401186,9.2
46,10:32,17.8836895215776,0.59728213675,3300.0,0.325396333201615,22.0
72,10:33,12.1044424231917,0.610430819083333,1735.0,0.394007228783082,10.2
97,10:34,11.8578573007475,0.792895357583333,1756.0,0.510329633372199,10.8
122,10:35,9.50477230211061,0.792895357583333,1740.0,0.576138593553428,10.8
148,10:36,10.7851714162675,1.08410708758333,1698.0,0.719177800670786,8.0
173,10:37,15.7928426387885,1.84816092502778,7242.0,1.03001978714661,57.0
198,10:38,19.4377366551153,2.59238156133333,4374.0,1.24994337823226,44.0
224,10:39,20.9396132898876,3.15180890244444,1730.0,1.42911556040976,9.0
250,10:40,21.2438639291314,3.55070904766667,1716.0,1.61124668178432,8.0
275,10:41,24.8383326050634,4.56603235316666,7504.0,2.13148872340849,77.0
300,10:42,28.4355702252575,5.694584003,6279.0,2.61890352113899,47.0
325,10:43,30.3039953451055,6.5677171935,6302.0,2.94973967547969,39.0
351,10:44,31.560580016201,7.36993668633334,6479.0,3.28682799564157,26.0
377,10:45,29.9173899207878,7.49647075316667,6892.0,3.38999582014229,39.0
402,10:46,30.7542305822055,8.21723294725,6014.0,3.62344061592279,65.0
427,10:47,30.4146184167766,8.62029040530556,1692.0,3.71077271362083,8.2
