,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,22:23,4.0920610676661875,0.02020269355555554,4115.2,0.001856334016725,13.0
22,22:24,34.7449391953431,0.581442612166667,5809.0,0.287148704697789,62.0
47,22:25,39.9383761610912,1.33307840702778,1707.0,0.548813579069783,12.0
72,22:26,38.1435039746991,1.896249134,6368.0,0.761365857954791,69.0
98,22:27,43.7418029618866,2.90753488322222,7061.0,0.981039093645744,55.0
124,22:28,48.022622078994,4.00787412380556,6279.0,1.21684493236376,55.0
149,22:29,51.0429218064899,5.09731872361111,3946.0,1.48788011853492,35.0
174,22:30,43.991905893147,5.11801711083333,1589.0,1.54927210807711,7.8
199,22:31,45.6805357598741,6.07615490369444,7162.0,1.90628099046112,72.0
225,22:32,43.2893682294721,6.53427738324999,1789.0,2.07463517677313,10.4
248,22:33,39.2069346825975,6.53427738324999,1783.0,2.13414986707697,10.4
273,22:34,37.1368009605976,6.79883171241666,1746.0,2.26601635093001,16.0
299,22:35,38.2553509890185,7.65215033763888,5165.0,2.54048222825517,56.0
324,22:36,35.9977507752138,7.78670624113889,1698.0,2.59033869001668,12.0
350,22:37,35.6496550057045,8.31372757341666,6118.0,2.80938540392111,41.0
376,22:38,33.9362939965471,8.48719692022222,6265.0,2.89186301835511,14.0
401,22:39,32.7197927152644,8.72103654613889,3045.0,2.99885305189161,22.0
