,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,08:45,1.4205480980552896,0.02719580153333332,4601.2,0.0041858683612057,18.8
1,08:46,0.302715416134367,0.0053237063055555,4593.0,0.013445949751454,17.0
6,08:47,3.32665018038962,0.0683531638055555,4847.0,0.0707207478871254,28.0
32,08:48,8.75571442921387,0.323932344722222,1606.0,0.221058125874134,8.0
58,08:49,10.9631788328976,0.590129379666667,7366.0,0.430331843957548,65.0
84,08:50,20.4957256191415,1.44866011608333,5215.0,0.730286034184828,59.0
109,08:51,26.7040405382237,2.32052427061111,5074.0,1.03423951000877,26.0
135,08:52,30.0049266631078,3.11555254358333,5717.0,1.292179627059,37.0
161,08:53,32.534543391577,3.91583705366667,6647.0,1.54209926024346,64.0
188,08:54,34.0700873251535,4.67717361861111,2134.0,1.7165634765483,6.0
214,08:55,34.2416052201044,5.26792345027778,7028.0,1.94731374530818,52.0
240,08:56,35.626728801843,6.06941170666667,5765.0,2.21203485985423,63.0
266,08:57,34.4453315049396,6.44639711963889,6589.0,2.35631362817675,44.0
292,08:58,34.7558794657123,7.09466733144445,5352.0,2.57926620199546,58.0
317,08:59,37.3594899518758,8.2340072581389,8257.0,3.04169963562353,85.0
343,09:00,39.6502657805138,9.4155416228889,6436.0,3.48933643647871,73.0
368,09:01,42.203393387462,10.7094492654445,8666.0,4.08852330358998,88.0
394,09:02,43.5704562014896,11.7904056738333,4862.0,4.4696036782657,54.0
419,09:03,41.735783152297,11.9770818415278,1722.0,4.5154806265229,9.2
445,09:04,42.1485411771494,12.8116149384722,6859.0,4.80845710008116,50.0
471,09:05,41.0587262007016,13.1720758776111,1825.0,4.91749101032222,5.0
496,09:06,40.3630049347003,13.6063454015833,7092.0,5.14808389372937,74.0
522,09:07,39.1009105484509,13.8500338376667,7126.0,5.2271575597949,60.4
547,09:08,39.3215817139407,14.5645013336945,3523.0,5.47297142083365,25.0
573,09:09,39.1710799033493,15.1737080988611,1767.0,5.66742750024574,10.4
598,09:10,38.6827198777272,15.6223718029167,1675.0,5.88387980283291,7.4
