,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,19:08,6.31216452298799,0.02911783274444444,5202.2,0.0064923463764559,22.8
14,19:09,9.04641132912403,0.102557700222222,1771.0,0.0875335095530592,6.2
39,19:10,8.21771662353085,0.229154992638889,1819.0,0.160872982315368,8.0
64,19:11,15.6980573691361,0.693836126555556,1819.0,0.314941003071459,10.0
90,19:12,13.7085418122616,0.836680846083333,1773.0,0.408767913375329,6.2
116,19:13,16.3788970498264,1.27504651452778,1909.0,0.577785009629243,9.0
141,19:14,19.5365231415257,1.8429533195,6258.0,0.81499175534167,55.0
167,19:15,18.4380571000358,2.05375876452778,1717.0,0.908753475541075,10.0
192,19:16,19.4976543598498,2.49077638261111,1742.0,1.09440264393595,8.6
218,19:17,23.6265284847371,3.42131046938889,5734.0,1.44229960578901,52.0
243,19:18,26.9399770684535,4.34069351408333,6366.0,1.71125720250902,69.0
268,19:19,27.3886887961142,4.86186890447222,7581.0,1.87800523604183,79.0
294,19:20,29.9320966942443,5.82913496161111,7245.0,2.08713174484113,74.0
319,19:21,33.8508529363263,7.15242929983333,8054.0,2.49420096798764,84.0
344,19:22,36.6027248336329,8.33455796275,6235.0,2.80810866699869,51.0
369,19:23,37.8908253079895,9.25486727594445,5957.0,3.04870551873881,64.0
395,19:24,35.928134746636,9.38934293930556,1637.0,3.09893486408695,8.6
420,19:25,35.0937534891871,9.73984952419445,5965.0,3.3010493189998,64.0
446,19:26,36.2493123770032,10.6683229091111,3806.0,3.52516607954938,24.0
471,19:27,34.432972062077,10.707560393,1720.0,3.58540650706599,10.0
497,19:28,34.5193385592063,11.3138588105556,6963.0,3.78417438088665,56.0
522,19:29,35.3140266687224,12.1585635338889,5412.0,3.98630277694989,31.0
548,19:30,34.4081356482927,12.4316258321667,1656.0,4.09700213643886,10.4
573,19:31,34.9762873928455,13.2094969021667,1620.0,4.36289124440495,5.0
599,19:32,33.479874886434,13.2094969021667,1697.0,4.42374658611374,10.4
625,19:33,32.1073923132978,13.2094969021667,4905.0,4.49269884689323,50.0
650,19:34,31.196905774655,13.3466079866945,1655.0,4.57871607563178,9.2
676,19:35,31.4444932020824,13.9818692861111,7316.0,4.91374803060343,72.0
701,19:36,32.1422100349923,14.8227163115833,7388.0,5.169182272336,75.0
726,19:37,32.0638423919522,15.3130121576111,2493.0,5.28082018099369,13.0
752,19:38,31.8139159750536,15.73637565225,1763.0,5.40841239100843,10.2
